CIS #,Profile,Recommendation / Setting,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
1.4.9,Level 1,(L1) Ensure 'Default automatic downloads setting' is set to 'Enabled: Don´t allow any website to perform automatic downloads' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev110~policy~microsoft_edge~contentsettings_defaultautomaticdownloadssetting,Default automatic downloads setting = Enabled [Default automatic downloads setting (Device) = Don't allow any website to perform automatic downloads],New,
1.4.10,Level 1,(L1) Ensure 'Default geolocation setting' is set to 'Enabled: Don't allow any site to track users' physical location' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~contentsettings_defaultgeolocationsetting,Default geolocation setting = Enabled [Default geolocation setting (Device) = Don't allow any site to track users' physical location],New,
1.4.11,Level 2,(L2) Ensure 'Default setting for third-party storage partitioning' is set to 'Enabled: Block third-party storage partitioning from being enabled.' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev116~policy~microsoft_edge~contentsettings_defaultthirdpartystoragepartitioningsetting,Default setting for third-party storage partitioning = Enabled [Default setting for third-party storage partitioning (Device) = Block third-party storage partitioning from being enabled.],New,
1.6.1,Level 1,(L1) Ensure 'Enable insecure download warnings' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev128~policy~microsoft_edge~downloads_showdownloadsinsecurewarningsenabled,Enable insecure download warnings = Enabled,New,
1.7.1,Level 1,(L1) Ensure 'Configure Edge Website Typo Protection' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev96~policy~microsoft_edge~typosquattingchecker_typosquattingcheckerenabled,Configure Edge Website Typo Protection = Enabled,Unchanged,
1.9.1,Level 1,(L1) Ensure 'Configure users ability to override feature flags' is set to 'Enabled: Prevent users from overriding feature flags' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev93~policy~microsoft_edge~experimentation_featureflagoverridescontrol,Configure users ability to override feature flags = Enabled [Configure users ability to override feature flags (Device) = Prevent users from overriding feature flags],Changed,
1.10.1,Level 1,(L1) Ensure 'Blocks external extensions from being installed' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Extensions - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev88~policy~microsoft_edge~extensions_blockexternalextensions,Blocks external extensions from being installed (User) = Enabled,Unchanged,Scope follows v4.0.0 (user)
1.10.2,Level 2,"(L2) Ensure 'Configure extension management settings' is set to 'Enabled: { ""*"": {""installation_mode"": ""blocked"" }}' (Automated)",In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Extensions - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~extensions_extensionsettings,"Configure extension management settings = Enabled [Configure extension management settings (Device) = { ""*"": {""installation_mode"": ""blocked"" }}]",New,
1.11.1,Level 1,(L1) Ensure 'Enable Gamer Mode' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev117~policy~microsoft_edge~edgegames_gamermodeenabled,Enable Gamer Mode (User) = Disabled,Unchanged,Scope follows v4.0.0 (user)
1.13.1,Level 1,(L1) Ensure 'Allow Basic authentication for HTTP' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev88.0.705.23~policy~microsoft_edge~httpauthentication_basicauthoverhttpenabled,Allow Basic authentication for HTTP = Disabled,New,
1.13.2,Level 1,(L1) Ensure 'Allow cross-origin HTTP Authentication prompts' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~httpauthentication_allowcrossoriginauthprompt,Allow cross-origin HTTP Basic Auth prompts = Disabled,New,
1.13.3,Level 2,"(L2) Ensure 'Supported authentication schemes' is set to 'Enabled: ntlm, negotiate' (Automated)",In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~httpauthentication_authschemes,"Supported authentication schemes = Enabled [Supported authentication schemes (Device) = ntlm, negotiate]",Changed,
1.14.1,Level 1,(L1) Ensure 'Guided Switch Enabled' is set to 'Disabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Profiles, Sign-In and Sync - v1.0.0",device_vendor_msft_policy_config_microsoft_edgev103~policy~microsoft_edge~identity_guidedswitchenabled,Guided Switch Enabled = Disabled,New,
1.20.1,Level 1,(L1) Ensure 'Specifies whether to block requests from public websites to devices on a user's local network' is set to 'Enabled' (Automated),Not in Settings Catalog,,,,,Microsoft Edge\Network settings\block requests from public websites to local devices not in the Settings Catalog export — check in the tenant and add if present
1.21.1,Level 1,(L1) Ensure 'Enable saving passwords to the password manager' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Password Management - v1.0.0,user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~passwordmanager_passwordmanagerenabled,Enable saving passwords to the password manager (User) = Disabled,Changed,Scope follows v4.0.0 (user)
1.24.1,Level 1,(L1) Ensure 'Enable startup boost' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev88~policy~microsoft_edge~performance_startupboostenabled,Enable startup boost = Disabled,New,
1.31.1,Level 1,(L1) Ensure 'Configure Microsoft Defender SmartScreen' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~smartscreen_smartscreenenabled,Configure Microsoft Defender SmartScreen = Enabled,Unchanged,
1.31.2,Level 1,(L1) Ensure 'Configure Microsoft Defender SmartScreen to block potentially unwanted apps' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge~smartscreen_smartscreenpuaenabled,Configure Microsoft Defender SmartScreen to block potentially unwanted apps = Enabled,Unchanged,
1.31.3,Level 1,(L1) Ensure 'Enable Microsoft Defender SmartScreen DNS requests' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev97~policy~microsoft_edge~smartscreen_smartscreendnsrequestsenabled,Enable Microsoft Defender SmartScreen DNS requests = Enabled,New,
1.31.4,Level 1,(L1) Ensure 'Force Microsoft Defender SmartScreen checks on downloads from trusted sources' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge~smartscreen_smartscreenfortrusteddownloadsenabled,Force Microsoft Defender SmartScreen checks on downloads from trusted sources = Enabled,Unchanged,MDM variant (the catalog also exposes a MAM app-config setting of the same name)
1.31.5,Level 1,(L1) Ensure 'Prevent bypassing Microsoft Defender SmartScreen prompts for sites' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~smartscreen_preventsmartscreenpromptoverride,Prevent bypassing Microsoft Defender SmartScreen prompts for sites = Enabled,Unchanged,
1.31.6,Level 1,(L1) Ensure 'Prevent bypassing of Microsoft Defender SmartScreen warnings about downloads' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~smartscreen_preventsmartscreenpromptoverrideforfiles,Prevent bypassing of Microsoft Defender SmartScreen warnings about downloads = Enabled,Unchanged,
1.32.1,Level 1,(L1) Ensure 'Disable Bing chat entry-points on Microsoft Edge Enterprise new tab page' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev118~policy~microsoft_edge~startup_newtabpagebingchatenabled,Disable Bing chat entry-points on Microsoft Edge Enterprise new tab page = Disabled,New,
1.33,Level 1,(L1) Ensure 'Ads setting for sites with intrusive ads' is set to 'Enabled: Block ads on sites with intrusive ads.' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_adssettingforintrusiveadssites,Ads setting for sites with intrusive ads = Enabled [Ads setting for sites with intrusive ads (Device) = Block ads on sites with intrusive ads. (Default value)],Changed,
1.34,Level 1,(L1) Ensure 'Allow download restrictions' is set to 'Enabled: Block malicious downloads' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgeupdates.2~policy~microsoft_edge_downloadrestrictions,Allow download restrictions = Enabled [Download restrictions (Device) = Block malicious downloads and dangerous file types],Changed,v4 variant and value retained (CIS: Block malicious downloads)
1.35,Level 2,(L2) Ensure 'Allow features to download assets from the Asset Delivery Service' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev101~policy~microsoft_edge_edgeassetdeliveryserviceenabled,Allow features to download assets from the Asset Delivery Service = Disabled,New,
1.36,Level 2,(L2) Ensure 'Allow file selection dialogs' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_allowfileselectiondialogs,Allow file selection dialogs = Disabled,New,
1.37,Level 1,(L1) Ensure 'Allow Google Cast to connect to Cast devices on all IP addresses' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_mediaroutercastallowallips,Allow Google Cast to connect to Cast devices on all IP addresses = Disabled,New,
1.38,Level 1,(L1) Ensure 'Allow import of data from other browsers on each Microsoft Edge launch' is set to 'Disabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Profiles, Sign-In and Sync - v1.0.0",device_vendor_msft_policy_config_microsoft_edgev104~policy~microsoft_edge_importoneachlaunch,Allow import of data from other browsers on each Microsoft Edge launch = Disabled,New,
1.39,Level 1,(L1) Ensure 'Allow importing of autofill form data' is set to 'Disabled' (Automated),In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Profiles, Sign-In and Sync - v1.0.0",device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_importautofillformdata,Allow importing of autofill form data = Disabled,New,
1.40,Level 1,(L1) Ensure 'Allow importing of browser settings' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_importbrowsersettings,Allow importing of browser settings = Disabled,Unchanged,
1.41,Level 1,(L1) Ensure 'Allow importing of home page settings' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_importhomepage,Allow importing of home page settings = Disabled,Unchanged,
1.42,Level 1,(L1) Ensure 'Allow importing of payment info' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_importpaymentinfo,Allow importing of payment info = Disabled,Unchanged,
1.43,Level 1,(L1) Ensure 'Allow importing of saved passwords' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_importsavedpasswords,Allow importing of saved passwords = Disabled,Unchanged,
1.44,Level 1,(L1) Ensure 'Allow importing of search engine settings' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_importsearchengine,Allow importing of search engine settings = Disabled,Unchanged,
1.45,Level 1,(L1) Ensure 'Allow managed extensions to use the Enterprise Hardware Platform API' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_enterprisehardwareplatformapienabled,Allow managed extensions to use the Enterprise Hardware Platform API = Disabled,Unchanged,
1.46,Level 2,(L2) Ensure 'Allow or block audio capture' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_audiocaptureallowed,Allow or block audio capture = Disabled,New,
1.47,Level 2,(L2) Ensure 'Allow or block video capture' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_videocaptureallowed,Allow or block video capture = Disabled,New,
1.48,Level 2,(L2) Ensure 'Allow or deny screen capture' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev83diff~policy~microsoft_edge_screencaptureallowed,Allow or deny screen capture = Disabled,New,
1.49,Level 1,"(L1) Ensure 'Allow personalization of ads, search and news by sending browsing history to Microsoft' is set to 'Disabled' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge_personalizationreportingenabled,"Allow personalization of ads, search and news by sending browsing history to Microsoft = Disabled",Unchanged,
1.50,Level 1,(L1) Ensure 'Allow queries to a Browser Network Time service' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_browsernetworktimequeriesenabled,Allow queries to a Browser Network Time service = Enabled,Unchanged,
1.51,Level 1,(L1) Ensure 'Allow remote debugging' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev93~policy~microsoft_edge_remotedebuggingallowed,Allow remote debugging = Disabled,New,
1.52,Level 1,(L1) Ensure 'Allow the audio sandbox to run' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev81diff~policy~microsoft_edge_audiosandboxenabled,Allow the audio sandbox to run = Enabled,New,
1.53,Level 2,(L2) Ensure 'Allow unconfigured sites to be reloaded in Internet Explorer mode' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev92~policy~microsoft_edge_internetexplorerintegrationreloadiniemodeallowed,Allow unconfigured sites to be reloaded in Internet Explorer mode = Disabled,Unchanged,
1.54,Level 1,(L1) Ensure 'Allow user feedback' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_userfeedbackallowed,Allow user feedback = Disabled,New,
1.55,Level 2,(L2) Ensure 'Allow users to open files using the ClickOnce protocol' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Extensions - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_clickonceenabled,Allow users to open files using the ClickOnce protocol = Disabled,New,
1.56,Level 2,(L2) Ensure 'Allow users to open files using the DirectInvoke protocol' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Extensions - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_directinvokeenabled,Allow users to open files using the DirectInvoke protocol = Disabled,New,
1.57,Level 2,(L2) Ensure 'Allow users to proceed from the HTTPS warning page' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_sslerroroverrideallowed,Allow users to proceed from the HTTPS warning page = Disabled,Unchanged,
1.58,Level 1,(L1) Ensure 'Allow Web Authentication requests on sites with broken TLS certificates' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev133~policy~microsoft_edge_allowwebauthnwithbrokentlscerts,Allow Web Authentication requests on sites with broken TLS certificates. = Disabled,New,
1.59,Level 1,(L1) Ensure 'Allow websites to query for available payment methods' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev80diff~policy~microsoft_edge_paymentmethodqueryenabled,Allow websites to query for available payment methods = Disabled,Unchanged,
1.60,Level 2,(L2) Ensure 'AutoLaunch Protocols Component Enabled' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev96~policy~microsoft_edge_autolaunchprotocolscomponentenabled,AutoLaunch Protocols Component Enabled = Disabled,New,
1.61,Level 1,"(L1) Ensure 'Automatically import another browser's data and settings at first run' is set to 'Enabled: Disables automatic import, and the import section of the first-run experience is skipped' (Automated)",In policy,"Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_autoimportatfirstrun,"Automatically import another browser's data and settings at first run (User) = Enabled [Automatically import another browser's data and settings at first run (User) = Disables automatic import, and the import section of the first-run experience is skipped]",Changed,Scope follows v4.0.0 (user)
1.62,Level 1,(L1) Ensure 'Automatically open downloaded MHT or MHTML files from the web in Internet Explorer mode' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev117~policy~microsoft_edge_internetexplorerintegrationzoneidentifiermhtfileallowed,Automatically open downloaded MHT or MHTML files from the web in Internet Explorer mode = Disabled,Unchanged,
1.63,Level 2,(L2) Ensure 'Block third party cookies' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_blockthirdpartycookies,Block third party cookies = Enabled,New,
1.64,Level 1,(L1) Ensure 'Block tracking of users' web-browsing activity' is set to 'Enabled: Balanced (Blocks harmful trackers and trackers from sites user has not visited; content and ads will be less personalized)' or higher (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_trackingprevention,Block tracking of users' web-browsing activity = Enabled [Block tracking of users' web-browsing activity (Device) = Balanced (blocks harmful trackers and trackers from sites user has not visited; content and ads will be less personalized)],Changed,
1.65,Level 2,(L2) Ensure 'Browser sign-in settings' is set to 'Enabled: Disable browser sign-in' (Automated),In policy,"Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_browsersignin,Browser sign-in settings (User) = Enabled [Browser sign-in settings (User) = Disable browser sign-in],Changed,Scope follows v4.0.0 (user)
1.66,Level 1,(L1) Ensure 'Clear browsing data when Microsoft Edge closes' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_clearbrowsingdataonexit,Clear browsing data when Microsoft Edge closes = Disabled,Unchanged,
1.67,Level 1,(L1) Ensure 'Clear cached images and files when Microsoft Edge closes' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev83diff~policy~microsoft_edge_clearcachedimagesandfilesonexit,Clear cached images and files when Microsoft Edge closes = Disabled,Unchanged,
1.68,Level 1,(L1) Ensure 'Clear history for IE and IE mode every time you exit' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev111~policy~microsoft_edge_internetexplorermodecleardataonexitenabled,Clear history for IE and IE mode every time you exit = Disabled,New,
1.69,Level 1,(L1) Ensure 'Configure browser process code integrity guard setting' is set to 'Enabled: Enable code integrity guard enforcement in the browser process.' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev104~policy~microsoft_edge_browsercodeintegritysetting,Configure browser process code integrity guard setting = Enabled [Configure browser process code integrity guard setting (Device) = Enable code integrity guard enforcement in the browser process.],New,
1.70,Level 1,(L1) Ensure 'Configure InPrivate mode availability' is set to 'Enabled: InPrivate mode disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Security - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_inprivatemodeavailability,Configure InPrivate mode availability = Enabled [Configure InPrivate mode availability (Device) = InPrivate mode disabled],New,
1.71,Level 2,(L2) Ensure 'Configure Online Text To Speech' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_configureonlinetexttospeech,Configure Online Text To Speech = Disabled,New,
1.72,Level 2,(L2) Ensure 'Configure Speech Recognition' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - D - User Experience - v1.0.0,device_vendor_msft_policy_config_microsoft_edgev87~policy~microsoft_edge_speechrecognitionenabled,Configure Speech Recognition = Disabled,New,
